Incident Address,Missed Count,Fines,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
110 George L Davis Blvd,28,5400,37203,METRO,9407,19,1735555.53424545,664657.700582377
5135 Hickory Hollow Pkwy,23,4400,37013,RED RIVER,4504,32,1771715.3976403,625525.306113639
12546 Old Hickory Blvd,21,4000,37013,RED RIVER,4510,33,1789760.34267127,620429.691639881
6007 Obrien Ave,20,3800,37209,RED RIVER,4201,20,1712810.52496768,662291.012044054
3710 N Natchez Ct,20,3800,37211,RED RIVER,4302,16,1751377.76331558,641918.401927307
1584 Bell Rd,19,3600,37211,RED RIVER,4404,31,1762228.96406743,623444.801982233
802 Crescent Rd,19,3600,37205,RED RIVER,2303,24,1721329.20039418,651502.700444166
1816 Jo Johnston Ave,18,3400,37203,METRO,9208,21,1731459.36691767,666013.601228506
320 Old Hickory Blvd,18,3400,37221,RED RIVER,1303,23,1696785.64175782,640242.310297901
15 Hermitage Ave,16,3000,37210,WASTE IND,4507,19,1741257.87409158,664665.162430791
607 Estes Rd,16,3000,37215,RED RIVER,2303,24,1721739.60170849,652520.700474465
14881 Old Hickory Blvd,15,2800,37013,RED RIVER,4403,31,1760853.11608307,622885.538203958
2731 Murfreesboro Pike,15,2800,37013,RED RIVER,4502,32,1781139.3630718,632445.602376676
3929 Stewarts Ln,15,2800,37218,RED RIVER,3203,1,1713734.39887278,680063.483969689
1601 S Observatory Dr,15,2800,37215,RED RIVER,3305,25,1731621.8312364,645571.303329742
1537 Harding Pl,15,2800,37215,RED RIVER,3303,34,1726689.93278431,640624.097111328
2813 Delaware Ave,15,2800,37209,METRO,9303,21,1726417.93253751,664270.500983901
617 Kinsey Blvd,14,2600,37115,RED RIVER,3314,9,1765040.19887177,699519.199573809
162 Antioch Pike,14,2600,37211,RED RIVER,4304,16,1753144.96479326,644275.202194266
116 Margaret St,13,2400,37115,RED RIVER,3314,9,1761405.79799504,700626.39983088
4024 Stewarts Ln,12,2200,37218,RED RIVER,4202,1,1714702.33152131,682276.61985986
209 Page Rd,12,2200,37205,RED RIVER,1302,34,1711982.60169369,641803.200126018
14550 Old Hickory Blvd,12,2200,37013,RED RIVER,4403,31,1766766.59805733,618419.200269798
1818 28Th Ave N,12,2200,37208,METRO,9201,21,1725645.13219829,674303.303101013
215 6Th Ave N,11,2000,37219,,,19,1737605.93208598,666928.100802998
111 Barton Ln,11,2000,37214,RED RIVER,1501,15,1763767.33698454,691754.934594888
4409 Granny White Pike,11,2000,37204,RED RIVER,3302,25,1731778.73266281,643685.698133302
14885 Old Hickory Blvd,11,2000,37013,RED RIVER,4403,31,1760853.13727768,622887.292270009
2401 Frisco Ave,11,2000,37209,RED RIVER,4203,20,1710739.95452657,667034.701572427
2774 Smith Springs Rd,11,2000,37217,RED RIVER,2505,29,1786895.36366149,639764.802373065
543 Richmar Dr,11,2000,37220,RED RIVER,2403,26,1744428.19971778,636444.800297336
502 Georgetown Dr,11,2000,37205,RED RIVER,1305,23,1707971.36745512,651574.400862528
1402 Lillian St,11,2000,37206,METRO,9506,6,1748250.68158806,670329.479392333
6301 Harding Pike,11,2000,37205,RED RIVER,1303,23,1708077.70140636,642078.756134419
2020 S Lyle Ln,10,1800,37210,RED RIVER,4303,16,1751799.39824664,652868.801414204
1916 S Hamilton Rd,10,1800,37218,RED RIVER,4204,2,1722905.13094539,677672.102459942
1501 Lewis Rd,10,1800,37115,RED RIVER,3411,8,1752116.99881936,696544.399908951
2415 Brasher Ave,10,1800,37206,METRO,9503,5,1747539.34451823,678817.226996785
1701 Cedar Grove Rd,10,1800,37218,RED RIVER,4202,2,1719741.93056291,678378.501557017
2801 Delaware Ave,10,1800,37209,METRO,9303,21,1726720.96660779,664351.20270875
123 37Th Ave N,10,1800,37209,WASTE IND,2308,24,1723662.24135667,659451.733435401
1815 Woodmont Blvd,10,1800,37215,RED RIVER,3305,25,1730532.21569564,648861.631860082
4807 Nolensville Pike,10,1800,37211,,,27,1756305.79825352,631423.200931452
1218 Eastdale Ave,10,1800,37216,RED RIVER,2203,7,1756348.33624427,689020.704115359
200 Brook Hollow Rd,10,1800,37205,RED RIVER,1304,23,1707536.97259391,644635.19570878
3301 Gallatin Pike,10,1800,37216,RED RIVER,1205,8,1751780.99183857,683683.79589104
1011 Elm Hill Pike,10,1800,37210,WASTE IND,4507,19,1751058.73594307,659829.8990249
115 Barton Ln,10,1800,37214,RED RIVER,1501,15,1763963.51898,691686.358753337
208 Flint Ridge Ct,10,1800,37189,RED RIVER,3201,3,1728655.80308218,694494.689079122
120 Bess Ct S,10,1800,37013,RED RIVER,4404,31,1764455.0012022,625528.278201018
3116 Anderson Rd,10,1800,37013,RED RIVER,3504,29,1786473.14333037,633967.295200841
2811 St Edwards Dr,10,1800,37211,RED RIVER,4301,16,1750336.99903373,648477.600747792
5004 Highlander Dr,9,1600,37013,RED RIVER,4504,28,1773428.08972867,627435.802950123
1804 S Hamilton Rd,9,1600,37218,RED RIVER,4204,2,1722385.00043022,677047.199443227
936 Cahal Ave,9,1600,37206,METRO,9507,5,1748206.4428172,679272.537889391
755 Rodney Dr,9,1600,37205,RED RIVER,1301,23,1698720.5966965,645635.929950771
504 Tyne Ct,9,1600,37205,RED RIVER,1302,34,1710348.7900374,642758.459598499
870 Sharpe Ave,9,1600,37206,METRO,9203,5,1745287.87762331,676943.49382165
3201 Hillsboro Pike,9,1600,37215,RED RIVER,2305,25,1729405.80047045,651556.000272999
3210 Whites Creek Pike,9,1600,37207,RED RIVER,3201,3,1726432.96620837,691919.200296047
3006 Goodwin Dr,9,1600,37217,RED RIVER,2505,29,1783818.56442841,637801.602887005
8 Sharonwood Dr,9,1600,37215,RED RIVER,2305S,25,1729011.28057712,652462.301065633
5205 Wessex Dr,9,1600,37211,RED RIVER,3403,27,1759216.33761828,627628.093772543
101 Jocelyn Hills Rd,9,1600,37205,RED RIVER,1304,23,1702986.5662093,644503.202622263
5137 Fredericksburg Way E,9,1600,37027,RED RIVER,4401,4,1742710.43888067,620778.978108535
1719 Windover Dr,9,1600,37218,RED RIVER,4202,2,1718289.89767607,680737.773329124
672 Annex Ave,9,1600,37209,RED RIVER,4203S,20,1710113.45291829,667014.464384421
2005 Farley Pl,9,1600,37210,RED RIVER,1504,15,1761071.37995703,665959.190698043
526 Foundry Dr,9,1600,37209,RED RIVER,4203,20,1708488.03045591,664998.60307437
2833 Georgia Ave B,9,1600,37209,METRO,9303,21,1726032.30907294,664835.417901276
5136 Edmondson Pike,9,1600,37211,RED RIVER,3401,27,1750080.19976189,630699.201036432
906 Free Silver Rd,9,1600,37207,RED RIVER,3202,2,1733244.53780487,682835.254938443
206 Rolling Fork Ct,9,1600,37205,RED RIVER,1304,23,1700749.90615446,641721.087600139
533 Annex Ave,8,1400,37209,RED RIVER,4203,20,1708649.10660739,664816.800206491
6413 E Valley Ct,8,1400,37205,RED RIVER,1303,23,1708103.80949131,643993.390647041
2404 Crestmoor Rd,8,1400,37215,RED RIVER,3305,25,1726567.81665148,647623.376259623
733 Heritage Dr,8,1400,37115,RED RIVER,3412,8,1756272.99835885,706785.399260327
1804 28Th Ave N,8,1400,37208,METRO,9201,21,1725572.96613427,673745.601891493
153 Mccall St,8,1400,37211,RED RIVER,4304,16,1752856.33551258,643322.496993197
3530 Pewitt Rd,8,1400,37218,RED RIVER,3203,1,1722323.47094635,687864.458671798
3514 Central Ave,8,1400,37205,METRO,9307,24,1724888.81300439,657839.726618804
4501 Granny White Pike,8,1400,37204,RED RIVER,3302,25,1731600.33370407,641975.296568843
263 Wallace Rd,8,1400,37211,RED RIVER,2405,30,1758532.19993569,636196.802541634
4100 Hillsboro Cir,8,1400,37215,RED RIVER,3305,25,1726495.36639119,644874.40189691
204 Clearbrook Ct,8,1400,37205,RED RIVER,1303,23,1703336.22100242,642275.761146958
2005 Lebanon Pike,8,1400,37210,RED RIVER,1504,15,1760561.7630735,665276.001224629
1800 Stokes Ln,8,1400,37215,RED RIVER,4305,25,1730430.73285439,650794.498174143
1909 Seasons Lake Ct,8,1400,37013,RED RIVER,3503,33,1793776.29311099,633336.124568677
2813 Delaware Ave A,8,1400,37209,METRO,9303,21,1726416.6338896,664271.71307337
409 Page Rd,8,1400,37205,RED RIVER,1302,34,1711788.99999882,639784.801540348
1005 Noelton Ave,8,1400,37204,RED RIVER,4305,25,1735508.33494859,648451.897016754
613 Troy Ct,8,1400,37207,WASTE IND,2206,2,1733989.44921575,686825.980684378
2611 12Th Ave S,8,1400,37204,METRO,9403,18,1735127.40135282,652480.600730372
4500 Clarksville Pike,8,1400,37218,RED RIVER,3203,1,1722469.13118646,690557.704972489
3209 Louise Dr,8,1400,37211,METRO,9408,16,1747524.46149257,644833.893771609
4521 Trousdale Dr,8,1400,37204,RED RIVER,4302,26,1746527.12491869,639981.902840202
101 Westminster Pl,8,1400,37205,RED RIVER,1303S,23,1709016.27996905,643029.686094107
1017 W Trinity Ln,8,1400,37218,RED RIVER,3202,2,1728459.92653227,682773.859948729
2221 Una Antioch Pike,8,1400,37013,RED RIVER,4502,28,1774609.93979324,636152.893698009
4305 Granny White Pike,8,1400,37204,RED RIVER,3302,25,1731856.01932605,644226.071924696
518 Monroe St,8,1400,37208,WASTE IND,3208,19,1735272.92720513,671876.620128452
5411 California Ave,7,1200,37209,METRO,9302,20,1716349.00137912,667452.558328131
1303 Rosedale Ave,7,1200,37207,METRO,9203,5,1745070.73455872,678327.303213528
211 Robin Hill Rd,7,1200,37205,RED RIVER,1303,23,1705095.52758654,643896.896944628
506 Ewing Dr,7,1200,37207,RED RIVER,3201,2,1735032.63849451,691795.796672059
1517 12Th Ave N,7,1200,37208,WASTE IND,3207,21,1731693.83922656,671290.499585811
721 Drummond Dr,7,1200,37211,RED RIVER,4303,16,1756955.28349749,648578.38170393
846 E Meade Ave,7,1200,37115,RED RIVER,3312,7,1757509.79935803,699476.199181012
5927 Carl Pl,7,1200,37209,,,20,1714257.12961266,665898.501063878
101 Westover Park Ct,7,1200,37215,RED RIVER,3305S,25,1729295.48572431,644211.602900962
1816 Knowles St,7,1200,37208,METRO,9208,21,1729683.46879157,670405.400227412
6633 Jocelyn Hollow Rd,7,1200,37205,RED RIVER,1304,23,1699234.24114675,642933.719258856
2218 Buena Vista Pike,7,1200,37218,RED RIVER,4204,2,1724505.76628625,679777.599715987
1425 Shelby Ave,7,1200,37206,METRO,9508,6,1748449.45741956,669717.656135816
6604 Ormond Dr,7,1200,37205,RED RIVER,1303,23,1702107.58019731,641881.954234616
30 Twin Oaks Dr,7,1200,37211,RED RIVER,4303,16,1756316.22813597,645219.338006587
3221 Mcgavock Pike,7,1200,37214,RED RIVER,1502,15,1768377.34793204,673801.022975876
12552 Old Hickory Blvd,7,1200,37013,RED RIVER,4510,33,1789722.59846757,620280.000664669
2100 Sharondale Dr,7,1200,37215,RED RIVER,2305,25,1729757.80528006,651699.443601669
163 Wheeler Ave,7,1200,37211,RED RIVER,4304,16,1754490.56408156,641914.400879999
5550 Mt View Rd,7,1200,37013,RED RIVER,4504,32,1780680.16447547,622557.60189448
2800 Acklen Ave,7,1200,37212,METRO,9301,18,1728911.53637241,657274.605315572
5600 Country Dr,7,1200,37211,RED RIVER,3406,27,1758868.42630643,624418.580535268
605 Creative Way,7,1200,37115,RED RIVER,3212,8,1750200.19956957,695597.599764183
64 E Thompson Ln,7,1200,37211,RED RIVER,4304,16,1753310.73570813,647698.49847346
536 Ronnie Rd,7,1200,37115,RED RIVER,3412,8,1754505.79915953,704710.999840985
5105 Buena Vista Pike,7,1200,37218,RED RIVER,3201,1,1724609.73272713,693040.845515649
3307 Masonwood Dr,7,1200,37207,RED RIVER,2202,3,1740741.7990563,695821.599141355
15 Heritage Glen Ct,7,1200,37115,RED RIVER,3412,8,1757144.99946777,706187.998331334
2120 Aileen Dr,7,1200,37013,RED RIVER,4502,28,1774753.55049679,637152.87712573
3322 Park Ave,7,1200,37209,WASTE IND,3306,24,1724793.92093117,662996.628496053
111 Douglas Ave,7,1200,37207,METRO,9207,5,1740952.66958541,678376.911107979
107 Bellebrook Cir,7,1200,37205,RED RIVER,1302S,34,1712471.52932999,642089.686597909
Granbery Park Dr,7,1200,37027,,,4,1744971.67670972,624215.493950263
2790 Smith Springs Rd,7,1200,37217,RED RIVER,2505,29,1787318.74216997,639731.297087845
615 Woodleigh Dr,7,1200,37215,RED RIVER,2304,24,1724802.78251888,651945.688619437
4418 Winston Ave W,7,1200,37211,RED RIVER,2405,27,1753539.39941554,633562.400721845
2120 Lebanon Pike,7,1200,37210,RED RIVER,1504S,15,1761447.56562153,667003.923539893
805 Marquette Dr,7,1200,37205,RED RIVER,1303,23,1705580.69981071,640452.569086995
208 Donelson Pike,7,1200,37214,RED RIVER,1505,15,1772254.42773352,666151.089738713
606 Delaware Ave,7,1200,37115,RED RIVER,3512,9,1761354.6767789,704865.918793284
676 Annex Ave,7,1200,37209,RED RIVER,4203S,20,1710138.77045479,667131.841665278
6601 Harcourt Cir,7,1200,37205,RED RIVER,1303,23,1701936.32826062,641601.696937777
3510 W Hamilton Ave,7,1200,37218,RED RIVER,3204,1,1720891.40015921,683517.598017432
2840 Lebanon Pike,7,1200,37214,RED RIVER,1503,15,1773759.11548251,668523.893801388
819 Channing Dr,7,1200,37115,RED RIVER,3212,8,1749370.65469497,698043.279506637
2802 Delaware Ave,7,1200,37209,METRO,9303,21,1726718.44826323,664352.91657623
2468 Una Antioch Pike,7,1200,37013,RED RIVER,4505,28,1773639.39886242,631458.401059723
3103 Kinross Ave,7,1200,37211,RED RIVER,4304,16,1751785.79824205,645909.600114376
2198 Golf Club Ln,7,1200,37215,RED RIVER,2305,25,1728080.58382,650814.29129306
4029 Graybar Ct,7,1200,37215,RED RIVER,3305,25,1729986.30393874,648821.425466489
215 Walton Ln,7,1200,37115,RED RIVER,2204,8,1753222.9716963,694523.114066911
1421 Jones Ave,7,1200,37207,METRO,9203,5,1744686.56384716,679822.398822455
105 Colemont Dr,7,1200,37013,RED RIVER,3404,30,1763695.5372997,630007.29407687
640 W Nocturne Dr,7,1200,37207,RED RIVER,3202,2,1731525.80037076,684667.199103589
1111 Lipscomb Dr,7,1200,37204,RED RIVER,3302,25,1732945.76675988,640856.002538178
4109 General Bate Dr,7,1200,37204,RED RIVER,3302,25,1735811.36209116,643792.729209346
675 Heritage Dr,7,1200,37115,RED RIVER,3412,8,1755115.55941177,706347.199316214
4503 Wayland Dr,7,1200,37215,RED RIVER,3301,34,1719368.77517391,639518.340659619
2000 Ashwood Ave,7,1200,37212,METRO,9308,18,1732005.30440683,654676.32638971
632 Harding Pl,7,1200,37211,RED RIVER,4302,26,1748485.162753,636126.401777425
507 Mcdonald Dr,7,1200,37217,RED RIVER,1402,16,1759719.55771046,649611.241998416
1304 Hildreth Dr,7,1200,37215,RED RIVER,3303,34,1728652.33325204,637553.694585632
910 W Greenwood Ave,6,1000,37206,WASTE IND,2509,5,1746406.3849202,677014.523352638
1704 Eastland Ave,6,1000,37206,METRO,9503,6,1750329.89615861,674012.417195703
3943 Dry Fork Rd,6,1000,37189,RED RIVER,3201,1,1720566.58404541,698010.005764693
300 Mcmillin St,6,1000,37203,METRO,9208,19,1733885.6319979,665324.077922567
655 Heritage Dr,6,1000,37115,RED RIVER,3412,8,1754929.99938992,705796.799828944
6221 Vosswood Dr,6,1000,37205,,,23,1707108.2001659,647959.201736906
6600 Ascot Dr,6,1000,37013,RED RIVER,3503,33,1795058.28450022,633130.931528818
3436 Towne Village Rd,6,1000,37013,RED RIVER,3503,33,1791306.56439233,634503.202497896
5312 Bell Crest Dr,6,1000,37013,RED RIVER,4502,32,1780612.16443521,630313.600944423
337 Vailview Dr,6,1000,37207,RED RIVER,2202,3,1743124.1638573,694991.598784086
5159 Hickory Hollow Pkwy,6,1000,37013,RED RIVER,4504,32,1772084.33907398,625515.293814691
617 James Ave,6,1000,37209,RED RIVER,4203,20,1709853.44212202,665941.581729496
3793 Hilltop Ave,6,1000,37216,RED RIVER,2205,8,1751509.98590193,686346.883910008
5508 Saddlewood Ln,6,1000,37027,RED RIVER,4401,4,1744974.57441102,618568.29375818
716 Heritage Dr,6,1000,37115,RED RIVER,3412,8,1756042.62935928,706561.629419097
85 Fairway Dr,6,1000,37214,RED RIVER,1503,15,1767302.60010049,670721.600452275
2118 Sharondale Dr,6,1000,37215,RED RIVER,2305,25,1729100.97919489,651975.571845615
1209 4Th Ave N,6,1000,37208,WASTE IND,3208,19,1736133.76626088,671734.401692735
3904 Granny White Pike,6,1000,37204,RED RIVER,3302,25,1733629.7936273,646188.353185771
1196 Vultee Blvd,6,1000,37217,RED RIVER,1402,13,1760497.66307119,652571.787796284
4206 Moss Rd,6,1000,37013,RED RIVER,4504,28,1775497.74361846,629857.92410491
660 Annex Ave,6,1000,37209,RED RIVER,4203S,20,1709962.94387947,666827.484806864
2611 Sterling Boone Dr,6,1000,37210,RED RIVER,4301,16,1750217.21553587,649674.00522473
3806 Auburn Ln,6,1000,37215,RED RIVER,2303S,25,1720546.13187319,647784.398298301
3516 Lanawood Dr,6,1000,37217,RED RIVER,3501,29,1788461.14297984,640127.29620823
2907 Sharon Hill Cir,6,1000,37215,RED RIVER,2305,25,1729913.3984742,652261.897182285
1334 Rosedale Ave,6,1000,37207,METRO,9203,5,1744970.08720247,678801.42503526
2338 Tally Green Ct,6,1000,37214,RED RIVER,1502,15,1765816.80405152,678815.562152328
500 Gun Club Rd,6,1000,37205,RED RIVER,1304,23,1708900.29128402,648736.554540221
606 Gibson Dr,6,1000,37115,RED RIVER,3214,8,1756476.59871853,701976.799355203
1405 Rugosa Ct,6,1000,37013,RED RIVER,3503,33,1792988.64560445,633626.259204028
762 Douglas Ave,6,1000,37207,METRO,9203,5,1746008.19850476,677862.398321432
108 Lexington Ct,6,1000,37215,RED RIVER,3304,34,1722376.21656187,644865.632036361
3606 Brush Hill Rd,6,1000,37216,RED RIVER,2203,7,1758973.56379798,686944.946349603
105 Clydelan Ct,6,1000,37205,RED RIVER,1302,34,1710418.60116613,640144.001545112
1708 Sprucedale Dr,6,1000,37013,RED RIVER,4510,32,1787409.91946871,620586.053159486
6546 Cornwall Dr,6,1000,37205,RED RIVER,1301,23,1702689.21965893,648693.405518521
2028 Leatherbury Ct,6,1000,37013,RED RIVER,3503,33,1793287.70390904,633404.045465374
109 Whitney Place Ct,6,1000,37215,RED RIVER,3301,34,1722090.01099717,641667.775654172
2520 Whites Creek Pike,6,1000,37207,RED RIVER,3202,2,1732106.5995191,685922.3985958
1835 Hermosa St,6,1000,37208,METRO,9208,21,1730309.76563458,667240.002083251
2521 Pennington Bend Rd,6,1000,37214,RED RIVER,1501,15,1761362.5680663,693212.448253989
1952 Wild Oaks Ct,6,1000,37013,RED RIVER,4504,32,1778751.08995897,624619.187900764
179 Nashboro Greens,6,1000,37217,,,29,1780220.63757295,641184.258436085
2202 Golf Club Ln,6,1000,37215,RED RIVER,2305,25,1727829.93333721,650899.29917377
3272 Luann Dr,6,1000,37013,RED RIVER,3504,33,1785780.99737082,632352.000313565
4104 Edwards Ave,6,1000,37216,RED RIVER,2201,8,1751184.59809746,689040.399007345
4901 Linbar Dr,6,1000,37211,RED RIVER,1405,30,1759890.59957911,637916.800444663
1322 Jones Ave,6,1000,37207,METRO,9203,5,1744384.20005213,678798.398404359
3138 Jenry Dr,6,1000,37214,RED RIVER,1505,14,1778321.36616263,674294.580676826
1330 Rosedale Ave,6,1000,37207,METRO,9203,5,1744965.93553092,678736.902340165
2518 Elm Hill Pike,6,1000,37214,RED RIVER,2502,15,1767848.19912055,663020.800182671
7277 Charlotte Pike,6,1000,37209,RED RIVER,1301,22,1697467.45663586,651434.852871816
736 Douglas Ave,6,1000,37207,METRO,9203,5,1745417.98695206,677950.600953601
2816 Old Matthews Rd,6,1000,37207,WASTE IND,2206,2,1734175.53391099,686451.303483589
2439 Buena Vista Pike,6,1000,37218,RED RIVER,4204,2,1725784.17313941,681401.909675294
1503 Shackleford Rd,6,1000,37215,RED RIVER,3302,25,1731881.00130536,644397.601350327
2201 Hermosa St,6,1000,37208,METRO,9303,21,1729260.80301139,667070.500835739
2705 Deerfield Dr,6,1000,37208,METRO,9201,21,1726064.03615395,674496.90077999
3561 Dickerson Pike,6,1000,37207,RED RIVER,3212,8,1745207.79875857,700620.198402919
4422 Granny White Pike,6,1000,37204,RED RIVER,3302,25,1731866.63156386,642670.380980144
1144 Sewanee Rd,6,1000,37220,RED RIVER,3302,34,1731663.36704106,639182.402269341
1800 Hayes St,6,1000,37203,METRO,9208,21,1733182.73326299,663736.101551735
5116 Edmondson Pike,6,1000,37211,RED RIVER,3401,27,1750490.56322178,631692.002087762
1123 N 6Th St,6,1000,37207,METRO,9203,5,1744061.13419402,677465.70213349
5018 Raywood Ln,6,1000,37211,RED RIVER,3403,30,1757468.35214595,629189.916210401
80 Lyle Ln,6,1000,37210,WASTE IND,4407,17,1751831.11479768,653833.104078944
2217 Dortch Ave,6,1000,37210,WASTE IND,4407,17,1748118.59512853,652807.578650612
2013 Gooch St,6,1000,37207,RED RIVER,3202,2,1735777.65491131,682780.702555718
1105 Saunders Ave,6,1000,37115,RED RIVER,3214,8,1753841.39945921,699003.198817769
1324 Barnes Rd,6,1000,37013,RED RIVER,4403,31,1758523.17305185,619593.29009094
2010 Beech Ave,6,1000,37204,METRO,9401,17,1738010.73274821,656170.499100186
1507 Elmwood Ave,6,1000,37212,METRO,9403,18,1734522.28377872,653646.649547317
872 Sharpe Ave,6,1000,37206,METRO,9203,5,1745335.33735262,676937.480557807
420 Mccain Dr,6,1000,37211,RED RIVER,3401,27,1756162.00656578,629259.253952552
827 Kirkwood Ave,6,1000,37204,RED RIVER,4301,17,1737636.43864848,651384.922238958
444 Rochelle Dr,6,1000,37220,RED RIVER,2401,26,1745864.99973683,630956.000308271
217 2Nd Ave S,6,1000,37201,METRO,,19,1740081.32485309,665580.226948161
407 Bixler Ave,6,1000,37115,RED RIVER,3414,9,1760425.79824647,704157.59857764
3001 Hamilton Church Rd,6,1000,37013,RED RIVER,4502,32,1781337.35169909,628801.445354835
135 Carnavon Pkwy,6,1000,37205,RED RIVER,1303,23,1703611.85444156,640954.384214244
917 Clayton Ave,6,1000,37204,RED RIVER,4301,17,1736693.93403852,650687.099072689
2207 Hermosa St,6,1000,37208,METRO,9303,21,1729108.55614959,667052.446551
2307 Golf Club Ln,6,1000,37215,RED RIVER,2305,25,1727107.03194093,650785.338493458
103 Alton Rd,6,1000,37205,RED RIVER,1302,34,1709600.20065728,641492.800254112
954 Battery Ln,5,800,37220,RED RIVER,3302,25,1735182.87979435,639862.473732996
4018 Shufeld Ct,5,800,37013,RED RIVER,3404,30,1763622.73876202,629656.893478525
1203 Plymouth Ave,5,800,37216,RED RIVER,2203,7,1756505.33690971,688576.504411386
4015 Graybar Ct,5,800,37215,RED RIVER,3305,25,1730009.8353346,648496.450006844
404 Claymille Ct,5,800,37207,RED RIVER,3201,2,1732072.04704685,691180.798312526
3937 Dry Fork Rd,5,800,37189,RED RIVER,3201,1,1720605.93387039,697853.487181504
608 Cleveland St,5,800,37207,METRO,9203,5,1743925.764861,675188.002055532
3216 Holland Ln,5,800,37218,RED RIVER,4204,1,1719865.3833397,673618.209783414
2825 Woodlawn Dr,5,800,37215,RED RIVER,2304,25,1727738.44742732,653327.47358987
3021 Ned Shelton Rd,5,800,37217,RED RIVER,2504,29,1780863.54200444,642428.897475108
613 Twin Oaks Ct,5,800,37211,RED RIVER,4303,16,1756164.88482178,644965.985671379
2812 27Th Ave S,5,800,37212,RED RIVER,2305,18,1729022.33394229,652985.679115469
3345 Walton Ln,5,800,37216,RED RIVER,2204,8,1748558.73431617,693309.705481274
400 Nesbitt Ln,5,800,37115,RED RIVER,3412,8,1755723.39828987,707217.399755237
1205 Lone Oak Rd,5,800,37215,RED RIVER,3303,25,1731394.56715321,641949.10781382
3712 Lausanne Dr,5,800,37211,RED RIVER,4403,4,1755081.33168688,622385.126378323
603 Hamblen Dr,5,800,37115,RED RIVER,3412,8,1754312.59915256,709761.999595077
1101 Saunders Ave,5,800,37115,RED RIVER,3214,8,1753790.99851103,699195.399551886
1223 N 6Th St,5,800,37207,METRO,9203,5,1744146.80603031,678102.808250004
1074 Granbery Park Dr,5,800,37027,RED RIVER,2401,4,1744320.39895393,623560.977531595
2420 Scott Valley Dr,5,800,37217,RED RIVER,4502,29,1777574.25305098,637120.577793506
2951 Ned Shelton Rd,5,800,37217,RED RIVER,2504,29,1780730.75537688,644465.451925676
2601 Vance Ave,5,800,37208,METRO,9201,21,1726435.26553835,674803.602487596
1868 Wild Oaks Ct,5,800,37013,RED RIVER,4504,32,1778289.22623753,625258.692337802
2220 Maplecrest Dr,5,800,37214,RED RIVER,1503,15,1764164.66032003,672240.253727453
1605 5Th Ave N,5,800,37208,WASTE IND,3207,19,1734791.44044765,673443.791615448
1406 22Nd Ave N,5,800,37208,METRO,9208,21,1729086.34580137,670091.217582867
4221 Shagbark Trl,5,800,37013,RED RIVER,4510,32,1785327.16721629,622722.257155568
4111 Gallatin Pike,5,800,37216,RED RIVER,2204,8,1754251.43969646,688436.117936354
4936 Hopedale Dr,5,800,37211,RED RIVER,2405,30,1756891.39984782,633517.601637914
1612 Pearl St,5,800,37203,WASTE IND,3208,19,1733709.78156016,666934.59383282
2718 Priest Lake Dr,5,800,37217,RED RIVER,4503,29,1782734.7414856,636341.695016464
112 Towne Village Ct,5,800,37013,RED RIVER,3504,33,1788992.8793153,632922.938367425
3524 Lanawood Dr,5,800,37217,RED RIVER,3501,29,1788445.79770533,639948.604389077
4218 Moss Rd,5,800,37013,RED RIVER,4504,28,1775549.79880843,630115.200257456
212 Oceola Ave,5,800,37209,RED RIVER,2301,20,1714762.60053625,661018.401835193
622 Estes Rd,5,800,37215,RED RIVER,2303,24,1721906.66533507,652279.764695802
2516 Joya Dr,5,800,37214,RED RIVER,1502,15,1770436.33952008,676795.30067944
260 Fairway Dr,5,800,37214,RED RIVER,2503,15,1765596.85931742,667744.851403353
1246 Antioch Pike,5,800,37211,,,13,1763417.51930861,640137.085505551
605 Piccadilly Row,5,800,37013,RED RIVER,4502,28,1772170.5785794,636605.59022499
1717 Linden Ave,5,800,37212,METRO,9308,18,1733193.74705796,653934.394721645
3518 W Hamilton Ave,5,800,37218,RED RIVER,3204,1,1720889.93124808,683520.102649433
2713 Overhill Cir,5,800,37214,RED RIVER,1505,15,1770298.59820113,667898.401362342
2240 Herman St B,5,800,37208,METRO,9303,21,1729005.87087511,666772.98100569
563 Annex Ave,5,800,37209,RED RIVER,4203,20,1709076.20176091,665536.801031342
548 Maplewood Ln,5,800,37216,RED RIVER,2201,8,1749951.93490418,690588.904135002
2700 Clarksville Pike,5,800,37208,METRO,9205,2,1726445.93194743,675950.503108573
1123 N 6Th St A,5,800,37207,METRO,9203,5,1744061.65818899,677464.300585816
45 Glenrose Ave,5,800,37210,RED RIVER,4301,16,1752033.80391278,651532.534180404
3917 Westmont Ave,5,800,37215,RED RIVER,2303,24,1721889.62229135,652144.144571487
630 Vernon Ave,5,800,37209,RED RIVER,4201,20,1712249.80131823,665659.201072629
204 Heady Dr,5,800,37205,RED RIVER,1302,34,1711752.20103398,642280.001683618
4014 Indiana Ave,5,800,37209,RED RIVER,1309,21,1721894.56694989,664997.601753082
166 Townes Dr,5,800,37211,RED RIVER,4404,30,1763291.24569874,625667.561795481
2708 Old Lebanon Rd,5,800,37214,RED RIVER,1503,15,1770938.52413965,670710.839599905
2769 Welshcrest Dr,5,800,37013,RED RIVER,4504,32,1777647.76008776,632303.47953396
773 W Meade Dr,5,800,37205,RED RIVER,1301,23,1704587.40082878,650169.601202123
