Incident Address,Missed Count,Fines,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
1817 Woodmont Blvd,1,0,37215,RED RIVER,3305,25,1730462.63143947,648854.380039732
4414 Farriswood Dr,1,0,37204,RED RIVER,3302,25,1732588.67644586,642228.648952779
709 Ashfield Ct,1,0,37211,RED RIVER,4402,27,1750805.17914218,624481.011015218
6101 Centennial Blvd,1,0,37209,METRO,9302,20,1714832.46257058,668761.252693693
579 Huntington Pkwy,1,0,37211,RED RIVER,3402,27,1752935.01940665,624686.590133012
1601 Jones Ave,1,0,37207,METRO,9203,5,1744901.76372261,681219.200463116
1307 Newman Ave,1,0,37216,RED RIVER,2205,7,1754364.23615124,686058.992364782
709 Skyview Dr B,1,0,37206,RED RIVER,1202,6,1753249.73013798,674109.194821728
1819 12Th Ave N,1,0,37208,RED RIVER,4209,21,1730262.33083197,673710.328546614
3192 Lagrange Dr,1,0,37218,RED RIVER,4204,1,1721148.96679802,673170.402527307
1622 Emerald Dr,1,0,37218,RED RIVER,4202,2,1719100.16621878,679138.399387391
519 Yokley Rd,1,0,37207,WASTE IND,2206,2,1735186.49500022,685173.230806667
1105 Wade Ave,1,0,37203,METRO,9401,17,1736060.56210223,657319.880419578
1515 Mcgavock Pk,1,0,37216,RED RIVER,1205,7,1757218.60926999,683408.008456242
623 Hickory Glade Ct,1,0,37013,RED RIVER,3406,30,1760391.11457407,629661.556106183
213 Dedham Dr,1,0,37214,RED RIVER,1505,14,1777216.85899537,674254.439589519
410 Woodbine St,1,0,37211,WASTE IND,4406,16,1747110.63046805,650208.044311826
1528 Mock Orange Cir,1,0,37217,RED RIVER,2504,28,1775635.40582116,639314.557587172
301 Cedarview Dr,1,0,37211,RED RIVER,4403,31,1760698.5405275,622698.770262299
427 Lazy Creek Ln,1,0,37211,RED RIVER,2402,4,1747582.18602137,621315.489672316
300 Church St,1,0,37201,METRO,,19,1738819.36495073,667418.401016144
3146 Crosswood Dr,1,0,37214,RED RIVER,2501,14,1777260.16340544,665411.201887623
609 N 5Th St,1,0,37207,METRO,9202,5,1743108.16363209,673736.802365562
204 Brenda Cir,1,0,37013,RED RIVER,3404,30,1764320.96489224,629898.40200193
5512 Tennessee Ave,1,0,37209,METRO,9302,20,1715985.19080669,666360.782304206
910 Strouse Ave,1,0,37206,METRO,9503,5,1746618.21797431,678445.599682126
595 Huntington Pkwy,1,0,37211,RED RIVER,3402,27,1752379.86892112,624888.449185533
1905 Lynmeade Ct,1,0,37210,RED RIVER,1504,15,1760984.76971393,666296.790579124
218 Stewarts Ferry Pike,1,0,37214,RED RIVER,2501,14,1776689.79896017,666822.400184614
229 Wallace Rd,1,0,37211,RED RIVER,2405,30,1759384.99917577,636124.002051487
2104 Grantland Ave,1,0,37204,METRO,9404,17,1738970.72346982,655453.360295603
614 Paces Ferry Dr,1,0,37214,RED RIVER,2501,14,1778511.39817785,664473.600439919
2933 Glenmeade Dr,1,0,37216,METRO,9505,7,1753934.94129202,681500.481667027
929 Harriswood Dr,1,0,37205,RED RIVER,1301,23,1698719.12845797,647744.995233691
501 Old Towne Dr,1,0,37027,RED RIVER,2402S,4,1745278.9647945,622148.249105119
1209 Ashwood Ave,1,0,37212,METRO,9403,18,1735132.11277592,654447.90382376
4820 Hickory Way,1,0,37013,RED RIVER,4210,33,1794876.01874217,618005.420179695
210 Fall St,1,0,37206,METRO,9503,6,1752139.54676818,674800.67181218
2512 Somerset Dr,1,0,37217,RED RIVER,2505,29,1780731.99616243,637744.99674929
3307 Percy Priest Dr,1,0,37214,RED RIVER,2501,13,1780642.25552399,661887.830558548
909 Montrose Ave,1,0,37204,METRO,9403,17,1736793.41081919,652420.541463787
2811 Lera Jones Dr,1,0,37013,RED RIVER,3505,29,1785014.00250701,636144.253542376
1113 57Th Ave N,1,0,37209,RED RIVER,4203,20,1715170.26032748,665425.228754511
2505 Ravine Dr,1,0,37217,RED RIVER,2505,29,1780319.01944813,637423.515831889
2637 Mesa Dr,1,0,37217,RED RIVER,2505,29,1781585.4246476,637090.215792212
416 Owendale Dr,1,0,37013,RED RIVER,4503,29,1784317.78884584,634572.800131482
2608 Ravine Dr,1,0,37217,RED RIVER,2505,29,1781041.27209973,637309.636323085
3136 Kinwood Dr,1,0,37013,RED RIVER,4503,29,1784865.25185605,632796.265151329
3100 Cloverwood Dr,1,0,37214,RED RIVER,2501,14,1775909.4242462,664275.91656704
2602 Buena Vista Pike,1,0,37218,RED RIVER,3202,2,1726291.49685826,681982.419460539
1609 Citation Dr,1,0,37217,RED RIVER,2504,28,1770407.8831483,643928.183378094
902 Youngs Ln,1,0,37207,RED RIVER,3202,2,1730805.17498844,681993.625374634
516 Phipps Dr,1,0,37218,RED RIVER,3203,1,1718942.28778925,687807.506055468
512B Snyder Ave,1,0,37209,RED RIVER,4201,20,1714346.21244294,663504.778695987
620 Bixler Ave,1,0,37115,RED RIVER,3512,9,1760779.0599981,705175.493523052
1738 25Th Ave N,1,0,37208,METRO,9201,21,1727482.60191689,672793.60161677
149 Barker Rd,1,0,37214,RED RIVER,1504,15,1761686.59960293,672225.601075986
1222 Rosa L Parks Blvd,1,0,37208,WASTE IND,3208,19,1734651.15590095,671372.780685994
2017 Greenwood Ave,1,0,37206,RED RIVER,1202,6,1752613.79968532,676342.399438287
2425 Brasher Ave,1,0,37206,METRO,9503,5,1747642.59928886,679044.599447684
341 Clearwater Dr,1,0,37217,RED RIVER,4503,29,1782430.93216399,634833.105762717
113 Rockglen Ct,1,0,37013,RED RIVER,4510,32,1786153.98140468,624897.939309496
2107 Jones Cir,1,0,37207,METRO,9206,5,1744874.06932838,683498.026120826
928 Gilmore Ave,1,0,37204,METRO,9403,17,1736338.98505846,652986.234772599
307 Bowwood Dr,1,0,37217,RED RIVER,1402,16,1758549.79901044,652711.201244647
347 Flora Maxwell Rd,1,0,37211,RED RIVER,2405,30,1754744.66296773,634852.475825994
626 Huntington Pkwy,1,0,37211,RED RIVER,3402,27,1751686.70995022,625208.190774543
1309 N 5Th St,1,0,37207,METRO,9202,5,1743816.725861,678495.741412993
412 Manor View Ln,1,0,37027,RED RIVER,2402,4,1743115.34656129,624978.284370621
2811 Delaware Ave,1,0,37209,METRO,9303,21,1726468.96578147,664281.601858432
808 N 6Th St,1,0,37207,METRO,9202,5,1743526.56617171,674832.221283867
4007 Michigan Ave B,1,0,37209,RED RIVER,1309,21,1721750.93351506,665613.655170088
6617 Rolling Fork Dr,1,0,37205,RED RIVER,1304,23,1699382.56438074,642284.001259862
616 Eastboro Dr B,1,0,37209,RED RIVER,4203,20,1712347.41552882,663984.113322155
3614 Woodmont Blvd,1,0,37215,RED RIVER,2303,24,1723434.56541507,649983.202044648
6207 Laredo Ave,1,0,37209,RED RIVER,4201,20,1711115.35146453,666683.99468649
3917 Meadow Rd,1,0,37218,RED RIVER,4202,1,1720437.80151937,684412.798086597
6309 Franklin Dr,1,0,37209,RED RIVER,4203,20,1710040.21116508,665825.786782828
317 Linda Ln,1,0,37115,RED RIVER,3214,8,1755733.39893343,702566.400019671
924 Mitchell Rd,1,0,37206,RED RIVER,1201,6,1757367.79773876,673955.000058863
2504 Oakwood Ave,1,0,37207,METRO,9206,8,1746107.3995858,684903.997088308
3801 Baxter Ave,1,0,37216,RED RIVER,2205,8,1752269.52545308,685782.716081056
1716 Arthur Ave,1,0,37208,WASTE IND,3207,21,1731472.7854831,672885.419951248
2013 12Th Ave N,1,0,37208,RED RIVER,4209,2,1729993.8003196,674929.601755276
1472 Tyne Blvd,1,0,37215,,,34,1726601.85865458,636470.308468315
611 Bowling Ave,1,0,37215,RED RIVER,2303,24,1724272.20141598,652428.001381915
540 Westboro Dr,1,0,37209,RED RIVER,4203,20,1710177.80015373,663002.401689632
6409 Robertson Ave,1,0,37209,RED RIVER,4203,20,1709372.6058766,665440.002162666
908 Preston Dr,1,0,37206,RED RIVER,1201,6,1756456.39955559,673415.200778864
3084 Buenaview Blvd,1,0,37218,RED RIVER,3204,1,1723482.17234112,690647.069475087
3804 Tulane Ct,1,0,37215,,,25,1720834.68887544,648168.415651791
3500 W Hamilton Ave,1,0,37218,RED RIVER,3204,1,1721487.20718132,683014.697010489
2040 Thistlewood Ave,1,0,37216,RED RIVER,1205,7,1756359.9984173,680551.198180812
521 Westboro Dr,1,0,37209,RED RIVER,4203,20,1710287.40158747,662516.001176372
3905 Meadow Rd,1,0,37218,RED RIVER,4202,1,1720346.21272084,683963.404307775
4300 Golden Hill Dr,1,0,37218,RED RIVER,3203,1,1716527.27088269,687823.567635162
3909 Meadow Rd,1,0,37218,RED RIVER,4202,1,1720373.36721857,684136.547622398
551 Stevenson St,1,0,37209,RED RIVER,4203,20,1712670.80189672,664117.400232471
204 Douglas Ave,1,0,37207,METRO,9207,5,1741400.19916199,678179.998894152
2201 Sharondale Dr,1,0,37215,RED RIVER,2305,25,1728136.96139849,652546.071900426
132 37Th Ave N,1,0,37209,WASTE IND,2308,24,1723844.20197,659821.6014315
4400 Georgia Ave,1,0,37209,RED RIVER,1309,20,1720528.20313609,664492.396251789
659 Westboro Dr,1,0,37209,RED RIVER,4203,20,1709354.76143584,664789.991991425
3226 Holbrook Dr,1,0,37211,RED RIVER,4303,16,1753132.99811449,644725.600296989
3462 Crestridge Dr,1,0,37204,RED RIVER,4301,25,1738677.74854195,647702.218440563
3454 Crestridge Dr,1,0,37204,RED RIVER,4301,25,1738667.34818925,647926.217817735
794 Saussy Pl,1,0,37205,RED RIVER,1301,23,1699619.4000842,648766.400496015
3231 Southlake Dr,1,0,37211,RED RIVER,4303,16,1752655.06074972,644762.937484034
5406 Burgess Ave,1,0,37209,RED RIVER,2301,24,1715668.57098589,660579.6102424
554 Westboro Dr,1,0,37209,RED RIVER,4203,20,1709985.67065491,663329.161933709
4402 Nevada Ave,1,0,37209,RED RIVER,1308,24,1720555.7671637,661972.086079475
505 Stevenson St A,1,0,37209,RED RIVER,4203,20,1712659.52891169,662861.415173285
4026 Woodmont Blvd,1,0,37205,RED RIVER,2303,24,1720205.8437502,650574.600794624
123 Rural Ave,1,0,37209,RED RIVER,2301,24,1715704.20050467,659438.401069448
6307 James Ct,1,0,37209,RED RIVER,4203,20,1709928.8308352,665590.423194259
330 Ardsley Pl,1,0,37215,RED RIVER,3301S,34,1723385.75141524,641468.811769373
3947 Dry Fork Rd,1,0,37189,RED RIVER,3201,1,1721078.31365162,698205.581205498
3408 Springbrook Dr,1,0,37204,RED RIVER,4301,25,1738522.01236255,648389.039449187
3418 Springbrook Dr,1,0,37204,RED RIVER,4301,25,1738457.74823495,647979.818417802
1616 17Th Ave N,1,0,37208,RED RIVER,3206,21,1730221.8007457,671608.800402343
4505 Price Circle Rd,1,0,37205,RED RIVER,2301,24,1714080.20205203,655912.800229422
37 Vaughns Gap Rd,1,0,37205,RED RIVER,1302,23,1706746.59992753,637694.399904055
607 Green Park,1,0,37215,RED RIVER,3304S,34,1723736.13605256,645311.152422335
800 Mansfield Ct,1,0,37206,,,5,1743875.33962054,673520.606046576
3856 Abernathy Rd,1,0,37218,RED RIVER,4202,2,1719490.46908867,681748.394336129
4107 Oriole Pl,1,0,37215,RED RIVER,3303,25,1729965.72174181,645289.008140168
1002 Greenwich Park,1,0,37215,RED RIVER,3304S,34,1724550.55530007,646510.778492629
215 Kensington Park,1,0,37215,RED RIVER,3304S,34,1723314.63089074,647232.000211242
610 Green Park,1,0,37215,RED RIVER,3304S,34,1723900.75289843,645341.53823209
904 Clearview Dr,1,0,37205,RED RIVER,2303,24,1721159.60103536,651238.700471514
3411 Pleasant Valley Rd,1,0,37204,RED RIVER,4301,25,1739340.94713609,648319.017135447
933 Caldwell Ln,1,0,37204,RED RIVER,4305,25,1737340.19907289,645988.602032484
1003 Curdwood Blvd,1,0,37216,RED RIVER,2205,8,1752987.64447896,687802.857952634
1012 Greenwich Park,1,0,37215,RED RIVER,3304S,34,1724443.97147247,646151.251992774
909 Old Hickory Blvd,1,0,37115,RED RIVER,3314,8,1746820.79927355,705099.800088528
1327 Pennock Ave,1,0,37207,METRO,9204,5,1742591.39968019,678673.598129467
6724 Rodney Ct,1,0,37205,RED RIVER,1301,23,1699745.2352496,646206.443514373
605 Andrew Rucker Ln,1,0,37211,RED RIVER,4402,27,1751590.13863873,622237.251666786
217 Kensington Park,1,0,37215,RED RIVER,3304S,34,1723296.25020653,647093.631591893
549 Stevenson St,1,0,37209,RED RIVER,4203,20,1712664.20075962,664064.001465732
533 Stonegate Pl,1,0,37027,RED RIVER,2402,4,1740380.21860552,625295.070128743
